player_id,player_name,season,type,age,team,pos,G,MP,MPG,TS_pct,Usg,FGA3r,FTAr,AST_pct,TOV_pct,ORB_pct,DRB_pct,TRB_pct,STL_pct,BLK_pct,pace_impact,raptor_off,raptor_def,raptor_tot,war_total
monkma01,Malik Monk,2020,RS,21,CHA,SG,55,1169,21.3,53,22.9,41.8,20.5,16.6,12.6,2.4,12.6,7.3,1.1,1.3,0.3,-1.6,-2.9,-4.5,-1.02
biyombi01,Bismack Biyombo,2020,RS,27,CHA,C,53,1029,19.4,57,16.8,0,54.3,7.8,12.2,12.3,20.7,16.3,0.5,4.4,-0.8,-2.2,-0.8,-3.1,-0.16
martico01,Cody Martin,2020,RS,24,CHA,SF,48,903,18.8,50.5,13.6,37.2,31.4,15.7,15.7,4.4,15.1,9.6,2.2,0.9,-0.1,-1.8,4.2,2.5,2.41
willima02,Marvin Williams,2020,RS,33,CHA,PF,41,808,19.7,59.3,14,55.7,23.8,7.8,9.7,2,13.2,7.4,1.6,2.5,-0.1,-1.3,-1.6,-3,-0.08
bacondw01,Dwayne Bacon,2020,RS,24,CHA,SG,39,687,17.6,41.9,19.5,27.5,21.7,11.7,12.2,2.3,14,7.9,1.7,0.3,-0.5,-5.3,-0.4,-5.8,-1.05
batumni01,Nicolas Batum,2020,RS,31,CHA,SF,22,505,23,46.3,9.4,60.5,12.3,18.3,20.5,5.2,16.8,10.8,1.7,1.5,-0.5,-0.8,2.7,1.8,1.18
hernawi01,Willy Hernangomez,2020,RS,25,CHA,C,31,375,12.1,57.6,22.9,15.8,42.4,13.5,15.4,12.1,27.5,19.5,1.3,1.7,0.1,-1.4,-0.5,-1.9,0.16
martica02,Caleb Martin,2020,RS,24,CHA,SF,18,317,17.6,59.5,15,44,25,11.1,13.9,3.3,10,6.5,1.9,2,-0.2,-2,4.9,3,0.93
mcdanja01,Jalen McDaniels,2020,RS,22,CHA,PF,16,293,18.3,57.4,13.3,34.3,24.3,6.8,12.4,5.4,19.4,12.1,1.4,0.9,-0.4,-0.8,1.1,0.3,0.45
kiddgmi01,Michael Kidd-Gilchrist,2020,RS,26,CHA,PF,12,160,13.3,42.1,17.6,32.1,17,9.5,10.9,5.9,18.4,11.9,0,1.7,-1.6,-4.8,2.3,-2.4,0.03
chealjo01,Joe Chealey,2020,RS,24,CHA,PG,4,33,8.3,12.7,13.2,57.1,28.6,3.9,20.2,0,0,0,6.1,0,-0.6,-14.4,6.3,-8,-0.09
lavinza01,Zach LaVine,2020,RS,24,CHI,SG,60,2085,34.8,56.8,31.7,40.4,27.9,21.7,13.3,2.1,13.8,7.7,2,1.3,0.5,1.2,-1.4,-0.1,2.78
satorto01,Tomas Satoransky,2020,RS,28,CHI,PG,65,1878,28.9,53.3,16.7,36.1,22,27.1,17.7,4.3,11,7.5,2.1,0.4,-0.1,0.1,0.1,0.2,2.81
whiteco01,Coby White,2020,RS,19,CHI,SG,65,1674,25.8,50.6,24.4,47.5,16.3,16.5,11.4,1.8,14,7.6,1.4,0.3,0.1,-0.9,-1.5,-2.5,0.25
